"","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths","deaths"
"89",-1,-1,-1,0,95,14,57,-1,-1,9,10,-1,-1,-1,146,49,-1,-1,31,82,-1,-1,43,-1,3,10,-1,-1,-1,-1,-1,102,-1,1,35,2,2,141,-1,10,-1,-1,34,-1,23,0,10,11,-1,-1,166
"90",-1,-1,-1,6,84,3,54,-1,-1,24,12,-1,-1,-1,82,28,-1,-1,12,80,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,76,-1,0,84,-1,0,102,-1,5,-1,-1,10,-1,12,0,6,3,-1,-1,169
"91",-1,-1,-1,-1,72,5,54,-1,-1,55,39,-1,-1,-1,108,23,-1,-1,72,76,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,148,-1,7,13,-1,1,24,-1,-1,-1,-1,8,-1,37,-1,4,4,-1,-1,138
"92",-1,-1,-1,-1,32,1,38,-1,-1,44,26,-1,-1,-1,75,12,-1,-1,18,68,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,162,-1,-1,18,-1,0,10,-1,-1,-1,-1,50,-1,-1,-1,7,-1,-1,-1,198
"93",-1,-1,-1,-1,39,-1,18,-1,-1,48,22,-1,-1,-1,66,8,-1,-1,27,44,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,21,-1,-1,-1,215
"94",-1,-1,-1,-1,124,-1,49,-1,-1,46,78,-1,-1,-1,29,-1,-1,-1,21,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,134
"95",-1,-1,-1,-1,94,-1,-1,-1,-1,43,33,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,135
"96",-1,-1,-1,-1,86,-1,-1,-1,-1,4,14,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,103
"97",-1,-1,-1,-1,83,-1,-1,-1,-1,15,5,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,123
"98",-1,-1,-1,-1,72,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,139
